PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 1,2005,40,0.641896,0.651428,34,,42,76,,15,167,105,25636
HHS Regions,Region 2,2005,40,1.7945,1.22057,113,,34,124,,10,281,68,23022
HHS Regions,Region 3,2005,40,2.06209,2.06554,157,,138,170,,50,515,87,24933
HHS Regions,Region 4,2005,40,0.584093,0.828368,166,,189,214,,33,602,230,72673
HHS Regions,Region 5,2005,40,0.979262,1.05325,208,,137,232,,32,609,207,57821
HHS Regions,Region 6,2005,40,0.878791,0.836693,62,,59,93,,6,220,121,26294
HHS Regions,Region 7,2005,40,0.35665,0.447289,20,,14,30,,1,65,72,14532
HHS Regions,Region 8,2005,40,1.45582,1.44741,181,,192,152,,60,585,76,40417
HHS Regions,Region 9,2005,40,1.78287,1.13624,220,,112,151,,26,509,122,44797
HHS Regions,Region 10,2005,40,1.22838,1.08588,11,,7,14,,1,33,25,3039
HHS Regions,Region 1,2005,41,0.569113,0.599792,23,,55,66,,12,156,111,26009
HHS Regions,Region 2,2005,41,2.07319,1.3747,134,,39,123,,4,300,72,21823
HHS Regions,Region 3,2005,41,1.85745,1.89435,169,,128,166,,38,501,90,26447
HHS Regions,Region 4,2005,41,0.821645,1.10151,271,,255,274,,64,864,241,78438
HHS Regions,Region 5,2005,41,1.17839,1.25616,280,,159,254,,39,732,214,58273
HHS Regions,Region 6,2005,41,1.16807,0.979914,74,,58,104,,5,241,122,24594
HHS Regions,Region 7,2005,41,0.196875,0.246212,19,,11,7,,2,39,76,15840
HHS Regions,Region 8,2005,41,0.542404,0.450862,42,,48,65,,8,163,75,36153
HHS Regions,Region 9,2005,41,1.59195,1.13617,254,,91,165,,24,534,131,47000
HHS Regions,Region 10,2005,41,0.989542,1.38078,19,,9,23,,1,52,28,3766
HHS Regions,Region 1,2005,42,0.713138,0.731732,35,,71,92,,18,216,111,29519
HHS Regions,Region 2,2005,42,2.34293,1.37261,167,,40,137,,5,349,73,25426
HHS Regions,Region 3,2005,42,1.73866,1.36537,104,,122,116,,37,379,93,27758
HHS Regions,Region 4,2005,42,0.863118,1.21634,335,,296,389,,54,1074,254,88298
HHS Regions,Region 5,2005,42,1.3147,1.31768,291,,174,306,,45,816,235,61927
HHS Regions,Region 6,2005,42,1.22296,1.04664,93,,66,124,,4,287,122,27421
HHS Regions,Region 7,2005,42,0.213046,0.287158,17,,10,21,,2,50,75,17412
HHS Regions,Region 8,2005,42,0.999965,0.723989,73,,69,115,,10,267,80,36879
HHS Regions,Region 9,2005,42,1.64786,1.25187,256,,138,204,,37,635,141,50724
HHS Regions,Region 10,2005,42,1.06076,1.1543,22,,6,21,,0,49,32,4245
HHS Regions,Region 1,2005,43,0.797598,0.716469,32,,63,103,,20,218,113,30427
HHS Regions,Region 2,2005,43,2.45528,1.29549,135,,39,162,,5,341,75,26322
HHS Regions,Region 3,2005,43,2.02414,1.44386,126,,94,175,,30,425,94,29435
HHS Regions,Region 4,2005,43,0.936815,1.24806,346,,304,383,,55,1088,262,87175
HHS Regions,Region 5,2005,43,1.33836,1.34028,286,,199,300,,59,844,238,62972
HHS Regions,Region 6,2005,43,1.21402,1.09642,85,,83,116,,3,287,103,26176
HHS Regions,Region 7,2005,43,0.332045,0.412601,26,,18,26,,4,74,77,17935
HHS Regions,Region 8,2005,43,0.758282,0.633404,79,,53,94,,10,236,79,37259
HHS Regions,Region 9,2005,43,1.51979,1.22387,307,,132,216,,27,682,160,55725
HHS Regions,Region 10,2005,43,0.949562,1.15898,17,,12,24,,0,53,36,4573
HHS Regions,Region 1,2005,44,0.704781,0.681431,43,,53,114,,14,224,118,32872
HHS Regions,Region 2,2005,44,2.66725,1.62674,196,,98,196,,24,514,86,31597
HHS Regions,Region 3,2005,44,2.55009,1.62983,118,,96,220,,35,469,99,28776
HHS Regions,Region 4,2005,44,0.974573,1.2832,339,,376,419,,64,1198,270,93360
HHS Regions,Region 5,2005,44,1.43755,1.47549,330,,235,336,,69,970,242,65741
HHS Regions,Region 6,2005,44,1.4868,1.29767,97,,54,151,,8,310,106,23889
HHS Regions,Region 7,2005,44,0.279905,0.332552,24,,17,15,,5,61,75,18343
HHS Regions,Region 8,2005,44,0.70458,0.624462,81,,69,98,,6,254,79,40675
HHS Regions,Region 9,2005,44,2.26971,1.58797,393,,174,323,,56,946,173,59573
HHS Regions,Region 10,2005,44,1.19521,1.46986,18,,18,22,,1,59,32,4014
HHS Regions,Region 1,2005,45,0.885654,0.91269,57,,88,133,,24,302,119,33089
HHS Regions,Region 2,2005,45,2.15051,1.70484,174,,133,188,,29,524,86,30736
HHS Regions,Region 3,2005,45,2.27175,1.68458,118,,139,202,,52,511,99,30334
HHS Regions,Region 4,2005,45,1.0745,1.34823,409,,309,462,,47,1227,274,91008
HHS Regions,Region 5,2005,45,1.34878,1.36059,262,,206,345,,57,870,237,63943
HHS Regions,Region 6,2005,45,1.85034,1.65359,87,,118,148,,18,371,100,22436
HHS Regions,Region 7,2005,45,0.308059,0.329555,22,,17,25,,2,66,79,20027
HHS Regions,Region 8,2005,45,0.919561,1.21366,85,,50,118,,15,268,66,22082
HHS Regions,Region 9,2005,45,1.71353,1.41157,320,,177,275,,50,822,178,58233
HHS Regions,Region 10,2005,45,0.794013,1.52899,29,,14,33,,1,77,34,5036
HHS Regions,Region 1,2005,46,0.905434,0.886831,73,,84,120,,16,293,118,33039
HHS Regions,Region 2,2005,46,1.91416,1.5255,165,,103,185,,16,469,88,30744
HHS Regions,Region 3,2005,46,2.16285,1.57766,106,,142,197,,51,496,98,31439
HHS Regions,Region 4,2005,46,1.15901,1.34889,421,,336,464,,68,1289,271,95560
HHS Regions,Region 5,2005,46,1.44347,1.44976,309,,223,318,,69,919,236,63390
HHS Regions,Region 6,2005,46,1.97266,1.79473,129,,150,163,,20,462,109,25742
HHS Regions,Region 7,2005,46,0.359639,0.408797,21,,23,31,,4,79,78,19325
HHS Regions,Region 8,2005,46,1.00115,1.30854,95,,92,107,,3,297,71,22697
HHS Regions,Region 9,2005,46,2.48289,1.60047,336,,158,329,,68,891,174,55671
HHS Regions,Region 10,2005,46,0.806907,1.59136,24,,20,37,,0,81,34,5090
HHS Regions,Region 1,2005,47,1.01245,1.06912,66,,76,92,,24,258,121,24132
HHS Regions,Region 2,2005,47,1.82465,1.82054,149,,98,129,,17,393,85,21587
HHS Regions,Region 3,2005,47,2.3137,1.79324,116,,121,144,,49,430,101,23979
HHS Regions,Region 4,2005,47,1.30186,1.7506,420,,339,403,,54,1216,278,69462
HHS Regions,Region 5,2005,47,1.72335,1.85295,338,,235,276,,57,906,236,48895
HHS Regions,Region 6,2005,47,2.02691,1.81538,107,,116,132,,10,365,110,20106
HHS Regions,Region 7,2005,47,0.585169,0.531955,31,,7,28,,5,71,76,13347
HHS Regions,Region 8,2005,47,0.931403,0.67004,78,,58,49,,7,192,77,28655
HHS Regions,Region 9,2005,47,3.23996,2.07082,341,,179,320,,67,907,181,43799
HHS Regions,Region 10,2005,47,0.774803,1.38648,20,,20,20,,4,64,36,4616
HHS Regions,Region 1,2005,48,0.835424,0.835396,56,,68,129,,17,270,120,32320
HHS Regions,Region 2,2005,48,2.67115,1.95341,231,,112,213,,26,582,89,29794
HHS Regions,Region 3,2005,48,2.36205,1.82385,114,,137,230,,51,532,105,29169
HHS Regions,Region 4,2005,48,1.05799,1.42246,420,,402,477,,71,1370,283,96312
HHS Regions,Region 5,2005,48,1.60129,1.62871,335,,277,339,,76,1027,240,63056
HHS Regions,Region 6,2005,48,1.94761,1.77257,150,,154,170,,15,489,113,27587
HHS Regions,Region 7,2005,48,0.587815,0.565193,42,,9,42,,8,101,75,17870
HHS Regions,Region 8,2005,48,0.925362,0.937885,89,,136,161,,17,403,89,42969
HHS Regions,Region 9,2005,48,2.78473,1.89716,393,,252,386,,63,1094,174,57665
HHS Regions,Region 10,2005,48,1.21331,1.77472,28,,36,29,,5,98,37,5522
HHS Regions,Region 1,2005,49,1.09397,0.951865,55,,78,128,,20,281,117,29521
HHS Regions,Region 2,2005,49,2.45659,1.74768,200,,98,193,,21,512,92,29296
HHS Regions,Region 3,2005,49,2.18686,1.69655,117,,97,198,,45,457,101,26937
HHS Regions,Region 4,2005,49,1.4307,1.81959,577,,396,542,,87,1602,283,88042
HHS Regions,Region 5,2005,49,1.35315,1.45916,283,,211,341,,70,905,240,62022
HHS Regions,Region 6,2005,49,2.34115,2.02649,134,,148,225,,7,514,109,25364
HHS Regions,Region 7,2005,49,0.350408,0.400594,20,,17,19,,6,62,72,15477
HHS Regions,Region 8,2005,49,0.939631,0.937221,82,,130,159,,17,388,87,41399
HHS Regions,Region 9,2005,49,3.69371,2.50513,479,,328,618,,101,1526,188,60915
HHS Regions,Region 10,2005,49,0.969897,1.9761,40,,31,40,,13,124,39,6275
HHS Regions,Region 1,2005,50,0.995161,0.938489,84,,60,104,,19,267,117,28450
HHS Regions,Region 2,2005,50,2.34526,1.81533,201,,97,180,,20,498,89,27433
HHS Regions,Region 3,2005,50,2.21334,1.84152,133,,95,236,,41,505,100,27423
HHS Regions,Region 4,2005,50,1.4822,1.8866,551,,499,538,,88,1676,288,88837
HHS Regions,Region 5,2005,50,1.48577,1.56087,315,,209,336,,54,914,232,58557
HHS Regions,Region 6,2005,50,3.10523,2.78115,170,,223,301,,16,710,104,25529
HHS Regions,Region 7,2005,50,0.386244,0.42322,21,,16,36,,1,74,80,17485
HHS Regions,Region 8,2005,50,1.75227,1.79745,152,,257,318,,25,752,86,41837
HHS Regions,Region 9,2005,50,5.29139,3.43735,568,,481,945,,122,2116,184,61559
HHS Regions,Region 10,2005,50,1.57161,2.87356,46,,60,69,,10,185,38,6438
HHS Regions,Region 1,2005,51,0.949622,0.878795,69,,53,86,,23,231,113,26286
HHS Regions,Region 2,2005,51,2.63895,2.11542,199,,96,175,,19,489,87,23116
HHS Regions,Region 3,2005,51,2.45602,2.051,144,,100,227,,59,530,100,25841
HHS Regions,Region 4,2005,51,1.6091,2.22941,637,,462,529,,95,1723,285,77285
HHS Regions,Region 5,2005,51,1.89128,1.96126,383,,247,269,,67,966,220,49254
HHS Regions,Region 6,2005,51,4.7602,4.31822,225,,309,360,,32,926,103,21444
HHS Regions,Region 7,2005,51,0.734862,0.822843,45,,19,44,,9,117,78,14219
HHS Regions,Region 8,2005,51,2.72766,2.54276,118,,377,372,,34,901,81,35434
HHS Regions,Region 9,2005,51,7.41654,4.49587,824,,572,937,,185,2518,182,56007
HHS Regions,Region 10,2005,51,2.44196,3.49553,52,,58,59,,7,176,38,5035
HHS Regions,Region 1,2005,52,1.34843,1.35485,93,,79,94,,27,293,112,21626
HHS Regions,Region 2,2005,52,2.65204,2.2945,176,,112,147,,20,455,87,19830
HHS Regions,Region 3,2005,52,3.628,3.08555,187,,112,286,,70,655,98,21228
HHS Regions,Region 4,2005,52,2.00528,3.09043,660,,679,485,,190,2014,278,65169
HHS Regions,Region 5,2005,52,2.38892,2.59728,441,,318,292,,87,1138,221,43815
HHS Regions,Region 6,2005,52,5.99246,5.64617,269,,480,329,,54,1132,99,20049
HHS Regions,Region 7,2005,52,1.02388,1.17148,54,,39,46,,10,149,77,12719
HHS Regions,Region 8,2005,52,2.80122,2.90902,178,,383,323,,58,942,84,32382
HHS Regions,Region 9,2005,52,5.54295,3.92578,554,,607,505,,198,1864,179,47481
HHS Regions,Region 10,2005,52,2.50441,3.74602,66,,73,54,,7,200,38,5339
HHS Regions,Region 1,2006,1,1.1264,0.988379,55,,77,72,,35,239,112,24181
